CP,ZONA,LOCALIDAD
1289,CABA,CABA
1290,CABA,CABA
1291,CABA,CABA
1292,CABA,CABA
1293,CABA,CABA
1294,CABA,CABA
1295,CABA,CABA
1296,CABA,CABA
1297,CABA,CABA
1298,CABA,CABA
1299,CABA,CABA
1300,CABA,CABA
1301,CABA,CABA
1302,CABA,CABA
1303,CABA,CABA
1304,CABA,CABA
1305,CABA,CABA
1306,CABA,CABA
1307,CABA,CABA
1308,CABA,CABA
1309,CABA,CABA
1310,CABA,CABA
1311,CABA,CABA
1312,CABA,CABA
1313,CABA,CABA
1314,CABA,CABA
1315,CABA,CABA
1316,CABA,CABA
1317,CABA,CABA
1318,CABA,CABA
1319,CABA,CABA
1320,CABA,CABA
1321,CABA,CABA
1322,CABA,CABA
1323,CABA,CABA
1324,CABA,CABA
1325,CABA,CABA
1326,CABA,CABA
1327,CABA,CABA
1328,CABA,CABA
1329,CABA,CABA
1330,CABA,CABA
1331,CABA,CABA
1332,CABA,CABA
1333,CABA,CABA
1334,CABA,CABA
1335,CABA,CABA
1336,CABA,CABA
1337,CABA,CABA
1338,CABA,CABA
1339,CABA,CABA
1340,CABA,CABA
1341,CABA,CABA
1342,CABA,CABA
1343,CABA,CABA
1344,CABA,CABA
1345,CABA,CABA
1346,CABA,CABA
1347,CABA,CABA
1348,CABA,CABA
1349,CABA,CABA
1350,CABA,CABA
1351,CABA,CABA
1352,CABA,CABA
1353,CABA,CABA
1354,CABA,CABA
1355,CABA,CABA
1356,CABA,CABA
1357,CABA,CABA
1358,CABA,CABA
1359,CABA,CABA
1360,CABA,CABA
1361,CABA,CABA
1362,CABA,CABA
1363,CABA,CABA
1364,CABA,CABA
1365,CABA,CABA
1366,CABA,CABA
1367,CABA,CABA
1368,CABA,CABA
1369,CABA,CABA
1370,CABA,CABA
1371,CABA,CABA
1372,CABA,CABA
1373,CABA,CABA
1374,CABA,CABA
1375,CABA,CABA
1376,CABA,CABA
1377,CABA,CABA
1378,CABA,CABA
1379,CABA,CABA
1380,CABA,CABA
1381,CABA,CABA
1382,CABA,CABA
1383,CABA,CABA
1384,CABA,CABA
1385,CABA,CABA
